precision,recall,threshold
0.574785100286533,1.0,7.953632501461962e-05
0.5751146788990825,1.0,8.021422030366031e-05
0.5754446356855996,1.0,8.025566735693318e-05
0.5757749712973593,1.0,8.162579903897742e-05
0.5764367816091954,1.0,8.359832280534187e-05
0.5767682576193215,1.0,8.643931924168906e-05
0.5774323546344272,1.0,8.755601382572031e-05
0.5794338532640092,1.0,8.794491436283207e-05
0.5797687861271676,1.0,8.883268772524945e-05
0.5801041064198958,1.0,9.111638452510799e-05
0.5804398148148148,1.0,9.20724285459838e-05
0.5807759119861031,1.0,9.357862530726692e-05
0.5811123986095017,1.0,9.736761525468042e-05
0.5814492753623188,1.0,9.743549984896264e-05
0.5817865429234339,1.0,9.770740458529543e-05
0.5821242019733024,1.0,9.811006127454835e-05
0.5824622531939605,1.0,9.976117579504381e-05
0.583139534883721,1.0,0.00010078836164855339
0.5844988344988346,1.0,0.0001017336995614083
0.5848396501457725,1.0,0.00010672307974944361
0.5851808634772462,1.0,0.00010710747697240804
0.5855224751897257,1.0,0.0001104019422722042
0.5862068965517241,1.0,0.00011205694733139317
0.5865497076023392,1.0,0.0001154648880962036
0.5868929198361615,1.0,0.00011561731803078083
0.5872365339578455,1.0,0.00011687497084825208
0.5875805506736965,1.0,0.00011895349905553108
0.5879249706916765,1.0,0.00012915715597479452
0.5882697947214076,1.0,0.00013086854778009184
0.5886150234741784,1.0,0.00013440465229171744
0.5889606576629477,1.0,0.00013497639583658758
0.5893066980023501,1.0,0.00013763126171543642
0.5896531452087007,1.0,0.00014138513498341299
0.59,1.0,0.00014161173303479246
0.5903472630959388,1.0,0.0001418257109050807
0.5906949352179034,1.0,0.00015254002904778384
0.5910430170889805,1.0,0.00016277344661795858
0.5913915094339622,1.0,0.00016510158251476086
0.5920897284533648,1.0,0.00017350051358740412
0.5927895981087471,1.0,0.0001779220953352737
0.5963139120095124,1.0,0.0001838568134361639
0.5970238095238095,1.0,0.00018469963592503258
0.5973793924955331,1.0,0.00019017592876001857
0.597735399284863,1.0,0.0001910493640363772
0.5980918306499702,1.0,0.00019736847936023189
0.5984486873508353,1.0,0.00020160829272610473
0.5988059701492537,1.0,0.00020629088966151482
0.5991636798088411,1.0,0.00020706696538441095
0.5995218170950388,1.0,0.00022361942933207243
0.5998803827751196,1.0,0.00022615838616135318
0.6002393776181927,1.0,0.00022659076465180708
0.6005988023952096,1.0,0.00023300770122984633
0.6009586578789694,1.0,0.0002343168275263315
0.6013189448441247,1.0,0.00023446510489841748
0.6016796640671865,1.0,0.0002362422186213977
0.603126879134095,1.0,0.00024256133394525236
0.6034897713598074,1.0,0.00024425127025841766
0.6038531005418423,1.0,0.0002524962460945241
0.6042168674698796,1.0,0.00027022448784899396
0.6045810729355033,1.0,0.0002774303593285339
0.6053108026554014,1.0,0.00029611857489643476
0.6056763285024155,1.0,0.0003005455883537564
0.6060422960725076,1.0,0.0003094752307930428
0.6064087061668681,1.0,0.0003364393192416891
0.6067755595886267,1.0,0.0003462032964806001
0.6071428571428571,1.0,0.00035113177156508414
0.6075105996365839,1.0,0.00036652041327705993
0.6078787878787879,1.0,0.00036679656927762104
0.6082474226804123,1.0,0.00037085746519829654
