fpr,tpr,threshold
0.44523979957050824,1.0,0.0007218961951457674
0.44953471725125266,1.0,0.0005901818607222966
0.4509663564781675,1.0,0.0005656864122810771
0.458840372226199,1.0,0.0003899682719311233
0.4602720114531138,1.0,0.0003890536749635204
0.4681460272011453,1.0,0.00029611857489643476
0.46957766642806015,1.0,0.0002774303593285339
0.47244094488188976,1.0,0.00024256133394525236
0.4753042233357194,1.0,0.0002362422186213977
0.4846098783106657,1.0,0.00018469963592503258
0.4860415175375805,1.0,0.0001838568134361639
0.4931997136721546,1.0,0.0001779220953352737
0.49606299212598426,1.0,0.00016510158251476086
0.5068002863278454,1.0,0.00011205694733139317
0.5082319255547602,1.0,0.0001104019422722042
0.5103793843951324,1.0,0.0001017336995614083
0.513242662848962,1.0,0.00010078836164855339
0.5146743020758768,1.0,9.976117579504381e-05
0.5211166785969935,1.0,8.794491436283207e-05
0.525411596277738,1.0,8.755601382572031e-05
0.5268432355046528,1.0,8.643931924168906e-05
0.5275590551181102,1.0,8.359832280534187e-05
0.5289906943450251,1.0,8.162579903897742e-05
0.5318539727988547,1.0,7.930012309289623e-05
0.5332856120257695,1.0,7.889227442907171e-05
0.5397279885468862,1.0,7.336490523516715e-05
0.541159627773801,1.0,7.298100776904158e-05
0.5425912670007158,1.0,6.839795887144855e-05
0.5440229062276306,1.0,6.827495939277141e-05
0.5454545454545454,1.0,6.431276505824567e-05
0.5518969219756621,1.0,6.154864380295539e-05
0.5547602004294918,1.0,6.116424657999095e-05
0.5576234788833214,1.0,6.044490423767737e-05
0.5597709377236937,1.0,5.5352721166483974e-05
0.5826771653543307,1.0,5.5229528479100734e-05
0.5926986399427344,1.0,5.5035391508946747e-05
0.5934144595561919,1.0,5.3410600836797984e-05
0.5977093772369363,1.0,5.090787732579502e-05
0.6012884753042234,1.0,5.0523480102830576e-05
0.6020042949176807,1.0,4.9924738613451575e-05
0.6048675733715104,1.0,4.862814304862675e-05
0.6062992125984252,1.0,4.747769097131488e-05
0.6141732283464567,1.0,4.656128576830483e-05
0.6320687186828919,1.0,4.458876200194037e-05
0.6413743736578382,1.0,4.269342494773655e-05
0.6449534717251253,1.0,4.226308605585918e-05
0.6506800286327845,1.0,4.187868883289474e-05
0.651395848246242,1.0,3.940520454969057e-05
0.6528274874731568,1.0,3.770296728231776e-05
0.6843235504652827,1.0,3.594397073200453e-05
0.6857551896921976,1.0,3.493488899638394e-05
0.686471009305655,1.0,3.3470486448800366e-05
0.690050107372942,1.0,3.176824918142754e-05
0.6914817465998568,1.0,3.097652461144706e-05
0.6943450250536864,1.0,3.044632486680857e-05
0.6950608446671439,1.0,2.9385598269089133e-05
0.7050823192555477,1.0,2.504180651055685e-05
0.7258410880458125,1.0,2.451160676591836e-05
0.7802433786685755,1.0,2.4127209542953913e-05
0.7831066571224051,1.0,2.3066482945234472e-05
0.7838224767358626,1.0,2.2976757465642037e-05
0.7852541159627774,1.0,2.2446557721003544e-05
0.9928418038654259,1.0,1.8192491442063704e-05
